pair common_neigh jaccard pref_attach adamic sp_3 class
11-351 1 0.007575757575757576 3822 0.19802544836217253 388.0 0
11-353 0 0.0 630 0 38.0 0
11-355 0 0.0 1974 0 103.0 0
11-356 5 0.03125 5166 1.061660661601369 957.0 0
11-357 2 0.021739130434782608 2184 0.4027987288227366 464.0 0
11-358 2 0.0136986301369863 4452 0.37913693586087815 510.0 0
11-359 1 0.016666666666666666 798 0.25433477814404226 18.0 0
11-360 0 0.0 126 0 20.0 0
11-361 2 0.016260162601626018 3486 0.37913693586087815 519.0 0
11-362 19 0.125 5418 4.228158129584831 1462.0 0
11-363 1 0.018518518518518517 546 0.22168724132403095 139.0 0
11-364 0 0.0 3864 0 346.0 0
11-365 0 0.0 1722 0 129.0 0
11-369 1 0.016129032258064516 882 0.2506903984389969 34.0 0
11-370 0 0.0 840 0 48.0 0
11-373 0 0.0 1176 0 32.0 0
11-374 2 0.023255813953488372 1932 0.44227527494504604 230.0 0
11-375 0 0.0 42 0 4.0 0
11-377 0 0.0 1554 0 155.0 0
11-378 2 0.017699115044247787 3066 0.3984088785780865 406.0 0
11-381 0 0.0 126 0 26.0 0
11-383 6 0.043478260869565216 4284 1.3669657732469567 608.0 0
11-385 15 0.09615384615384616 5418 3.323339547637637 1432.0 0
11-386 11 0.044897959183673466 8988 2.362201800071784 1706.0 0
11-387 4 0.020100502512562814 6762 0.8621694645741739 887.0 0
11-389 4 0.031007751937984496 3822 0.8668086035486473 628.0 0
11-390 0 0.0 546 0 14.0 0
11-391 0 0.0 210 0 7.0 0
11-392 0 0.0 378 0 17.0 0
11-393 0 0.0 1302 0 131.0 0
11-394 0 0.0 2436 0 273.0 0
11-395 1 0.015384615384615385 1008 0.21075117050092493 126.0 0
11-396 0 0.0 1344 0 62.0 0
11-397 0 0.0 252 0 4.0 0
11-398 5 0.034722222222222224 4494 1.0803921071747953 966.0 0
11-399 0 0.0 336 0 3.0 0
11-401 6 0.03389830508474576 5922 1.222345009868676 1189.0 0
11-403 0 0.0 378 0 13.0 0
11-405 0 0.0 168 0 19.0 0
11-406 0 0.0 378 0 1.0 0
11-407 2 0.013157894736842105 4704 0.4161939896896836 787.0 0
11-408 0 0.0 462 0 32.0 0
11-409 0 0.0 294 0 4.0 0
11-411 0 0.0 924 0 23.0 0
11-412 1 0.02040816326530612 336 0.21075117050092493 42.0 0
11-413 0 0.0 84 0 9.0 0
11-414 0 0.0 378 0 45.0 0
11-417 12 0.043795620437956206 10248 2.583016317805041 1703.0 0
11-419 1 0.014492753623188406 1176 0.24842549839846914 159.0 0
11-420 0 0.0 1092 0 133.0 0
11-421 6 0.05172413793103448 3360 1.2768221942246347 630.0 0
11-422 3 0.023622047244094488 3696 0.5795203660767921 467.0 0
11-423 2 0.012422360248447204 5082 0.38149491771461963 493.0 0
11-425 6 0.058823529411764705 2772 1.345618396088373 746.0 0
11-427 2 0.016129032258064516 3528 0.4044585443398026 818.0 0
11-428 4 0.024242424242424242 5334 0.8259173163210418 653.0 0
11-429 0 0.0 588 0 86.0 0
11-431 3 0.022222222222222223 4032 0.6268153243920281 724.0 0
11-433 5 0.029585798816568046 5544 1.0541430934650793 1265.0 0
11-434 7 0.044585987261146494 5124 1.4539913089812384 1055.0 0
11-436 0 0.0 294 0 1.0 0
11-438 4 0.029197080291970802 4158 0.7934440294337679 715.0 0
11-439 20 0.19607843137254902 3360 4.447614556555146 1250.0 0
11-440 0 0.0 1302 0 106.0 0
11-442 0 0.0 3864 0 351.0 0
11-444 0 0.0 798 0 5.0 0
11-446 9 0.059602649006622516 4956 2.0623741151483266 963.0 0
11-449 4 0.043478260869565216 2268 0.836883500421753 402.0 0
11-451 0 0.0 1260 0 43.0 0
11-452 3 0.015957446808510637 6258 0.6462754228861666 762.0 0
11-453 11 0.07913669064748201 4536 2.423726844440846 1157.0 0
11-454 2 0.03389830508474576 798 0.4216603063765122 202.0 0
11-456 0 0.0 420 0 3.0 0
11-458 3 0.015789473684210527 6342 0.5795203660767921 740.0 0
11-460 1 0.014492753623188406 1176 0.20355592307196482 290.0 0
11-461 0 0.0 126 0 7.0 0
11-463 0 0.0 84 0 1.0 0
11-464 0 0.0 294 0 14.0 0
11-465 0 0.0 420 0 5.0 0
11-466 2 0.012903225806451613 4830 0.37913693586087815 533.0 0
11-467 2 0.013888888888888888 4368 0.40346826755093124 436.0 0
11-468 0 0.0 2562 0 240.0 0
11-469 0 0.0 336 0 21.0 0
11-470 5 0.06172839506172839 1848 1.0371924845496507 432.0 0
11-471 0 0.0 42 0 9.0 0
11-474 0 0.0 420 0 5.0 0
11-477 6 0.05172413793103448 3360 1.2760791058531509 744.0 0
11-480 0 0.0 336 0 17.0 0
11-483 0 0.0 336 0 8.0 0
11-484 0 0.0 630 0 1.0 0
11-487 7 0.04046242774566474 5796 1.4689673549192268 1288.0 0
11-493 2 0.037037037037037035 588 0.42467602249047376 108.0 0
11-495 0 0.0 126 0 15.0 0
11-501 0 0.0 336 0 9.0 0
11-503 0 0.0 4746 0 467.0 0
11-505 0 0.0 294 0 6.0 0
11-507 2 0.017857142857142856 3024 0.41971268968620346 653.0 0
11-509 9 0.10465116279069768 2226 1.9707572769178228 646.0 0
11-511 5 0.0364963503649635 4200 1.0333447765550166 856.0 0
11-513 0 0.0 42 0 12.0 0
11-514 1 0.014285714285714285 1218 0.18111148749870565 150.0 0
11-515 0 0.0 3150 0 258.0 0
11-516 4 0.02666666666666667 4704 0.8847265956839785 611.0 0
11-517 0 0.0 1092 0 58.0 0
11-518 4 0.04040404040404041 2562 0.8273919468065125 587.0 0
11-519 0 0.0 336 0 13.0 0
11-520 2 0.01652892561983471 3402 0.38149491771461963 349.0 0
11-525 0 0.0 3360 0 359.0 0
11-527 0 0.0 2898 0 239.0 0
11-528 0 0.0 336 0 24.0 0
11-529 0 0.0 1554 0 172.0 0
11-530 0 0.0 672 0 7.0 0
11-531 0 0.0 588 0 5.0 0
11-532 0 0.0 126 0 23.0 0
11-533 0 0.0 798 0 88.0 0
11-536 13 0.08125 5502 2.816648547710545 1351.0 0
11-552 3 0.024793388429752067 3444 0.6031821590386506 649.0 0
11-557 0 0.0 3024 0 347.0 0
11-558 12 0.1 3780 2.5997875185543675 989.0 0
11-559 1 0.007936507936507936 3570 0.19802544836217253 460.0 0
11-560 0 0.0 126 0 5.0 0
11-561 1 0.017857142857142856 630 0.21274421382066935 62.0 0
11-562 1 0.010752688172043012 2184 0.20544281918875867 272.0 0
11-563 0 0.0 882 0 10.0 0
11-565 0 0.0 378 0 11.0 0
11-567 0 0.0 462 0 1.0 0
11-568 0 0.0 630 0 1.0 0
11-569 0 0.0 462 0 1.0 0
11-571 0 0.0 84 0 8.0 0
11-572 0 0.0 504 0 12.0 0
11-574 0 0.0 336 0 3.0 0
11-575 0 0.0 168 0 17.0 0
11-576 1 0.023255813953488372 84 0.2119318086698044 44.0 0
11-577 0 0.0 462 0 13.0 0
11-578 0 0.0 756 0 43.0 0
11-579 1 0.0136986301369863 1344 0.2162174871877535 72.0 0
11-580 2 0.025 1680 0.4281492958575579 123.0 0
11-581 0 0.0 462 0 86.0 0
11-582 13 0.14130434782608695 2646 3.076261653931111 838.0 0
11-583 0 0.0 756 0 7.0 0
11-584 0 0.0 1050 0 13.0 0
11-585 0 0.0 714 0 1.0 0
11-586 0 0.0 1050 0 27.0 0
11-587 0 0.0 672 0 2.0 0
11-589 0 0.0 168 0 14.0 0
11-590 0 0.0 714 0 48.0 0
11-591 0 0.0 378 0 3.0 0
11-592 0 0.0 798 0 8.0 0
11-594 0 0.0 840 0 115.0 0
11-595 1 0.018518518518518517 546 0.2162174871877535 85.0 0
11-596 0 0.0 840 0 77.0 0
11-597 0 0.0 462 0 55.0 0
11-598 0 0.0 294 0 1.0 0
11-599 0 0.0 630 0 50.0 0
11-600 0 0.0 294 0 14.0 0
11-601 2 0.012269938650306749 5166 0.37913693586087815 780.0 0
11-603 11 0.06043956043956044 6342 2.3598587020049693 1301.0 0
11-605 9 0.05389221556886228 5628 1.8904160503948333 1343.0 0
11-606 16 0.19753086419753085 2310 3.5606556011785337 1017.0 0
11-607 21 0.19811320754716982 3570 4.6889640833116 1358.0 0
11-608 5 0.03816793893129771 3948 1.0131394160706275 983.0 0
11-609 15 0.0847457627118644 6300 3.353969927078399 1618.0 0
11-610 27 0.13705583756345177 7644 6.0497448592289365 2098.0 0
11-612 18 0.09137055837563451 7266 3.98352904683783 1832.0 0
11-614 5 0.03164556962025317 5082 1.0975162691794411 1177.0 0
11-616 16 0.14545454545454545 3528 3.443039970157483 1387.0 0
11-617 14 0.08536585365853659 5712 3.074286981340763 1644.0 0
11-618 19 0.19387755102040816 3150 4.164969178392398 1183.0 0
11-620 3 0.04918032786885246 924 0.6642786824480004 356.0 0
11-621 22 0.15172413793103448 5250 4.8975739278894945 1587.0 0
11-622 2 0.014598540145985401 4074 0.44227527494504604 567.0 0
11-623 26 0.23008849557522124 4074 5.891096479817303 1622.0 0
11-625 1 0.006211180124223602 5040 0.18111148749870565 498.0 0
11-626 19 0.11046511627906977 6258 4.121610183708272 1717.0 0
11-627 9 0.04054054054054054 7938 1.8157780956334013 1379.0 0
11-628 12 0.059113300492610835 7266 2.642755459422763 1431.0 0
11-629 5 0.029940119760479042 5460 1.041660981684975 952.0 0
11-630 5 0.03205128205128205 4998 1.0701508822172923 1128.0 0
11-631 15 0.10948905109489052 4620 3.29683032925044 1209.0 0
11-632 6 0.05309734513274336 3234 1.321935608544473 807.0 0
11-633 17 0.06692913385826772 9618 3.7472448264864595 1967.0 0
11-634 21 0.20388349514563106 3444 4.706111275252511 1297.0 0
11-636 5 0.027472527472527472 6090 1.0131079794430082 886.0 0
11-637 6 0.04225352112676056 4452 1.268022467322523 686.0 0
11-638 8 0.05517241379310345 4662 1.790292923017085 878.0 0
11-639 5 0.026041666666666668 6510 1.1080953456499991 787.0 0
11-640 11 0.07006369426751592 5292 2.382367899690275 1270.0 0
11-641 6 0.05084745762711865 3444 1.2753256276438059 700.0 0
11-642 3 0.03 2562 0.7277787439675283 485.0 0
11-644 7 0.03804347826086957 6258 1.4375855763673382 1001.0 0
11-645 4 0.029411764705882353 4116 0.9261315484899608 898.0 0
11-646 7 0.05982905982905983 3444 1.5409015637840573 839.0 0
11-647 8 0.06015037593984962 4158 1.758470783592783 926.0 0
11-648 11 0.11458333333333333 2730 2.357549778978944 1043.0 0
11-649 17 0.14285714285714285 3948 3.7078221959867106 1241.0 0
11-651 3 0.01775147928994083 5460 0.6527436567221288 949.0 0
11-652 23 0.19827586206896552 4074 5.167629183840477 1509.0 0
11-653 3 0.02127659574468085 4284 0.5845797550496369 629.0 0
11-654 11 0.0738255033557047 4956 2.522581257987558 1309.0 0
11-655 2 0.022727272727272728 2016 0.3918626579996306 357.0 0
11-656 4 0.039603960396039604 2646 0.9182499264457872 637.0 0
11-657 11 0.05583756345177665 6972 2.3695974789984247 1623.0 0
11-658 1 0.009259259259259259 2814 0.20544281918875867 282.0 0
11-659 4 0.03225806451612903 3612 0.898788206892061 471.0 0
11-660 6 0.04 4788 1.279041654889214 1109.0 0
11-661 15 0.08875739644970414 5964 3.285565196891792 1421.0 0
11-662 1 0.008130081300813009 3444 0.20355592307196482 534.0 0
11-663 7 0.04 5880 1.462197531476508 1137.0 0
11-664 7 0.04794520547945205 4662 1.4729533703179516 1165.0 0
11-665 2 0.014492753623188406 4116 0.40931639891737437 482.0 0
11-666 3 0.02158273381294964 4200 0.6135498993236616 867.0 0
11-667 10 0.10869565217391304 2520 2.232077801744787 868.0 0
11-668 12 0.08759124087591241 4494 2.7021305600611476 1141.0 0
11-669 3 0.019867549668874173 4704 0.5869427733250187 812.0 0
11-670 0 0.0 3570 0 489.0 0
11-671 0 0.0 4032 0 438.0 0
11-672 2 0.02 2520 0.3930432961685101 367.0 0
11-673 3 0.019867549668874173 4704 0.638459839592058 775.0 0
11-674 7 0.040229885057471264 5838 1.4611777207555137 1078.0 0
11-675 9 0.07627118644067797 3570 2.0804605208643876 501.0 0
11-677 11 0.07801418439716312 4620 2.391429982958247 1214.0 0
11-678 8 0.0625 3948 1.6976473050725995 939.0 0
11-679 7 0.05263157894736842 4116 1.5226011398336394 1027.0 0
11-680 5 0.029940119760479042 5460 1.0569501354680217 793.0 0
11-681 6 0.027777777777777776 7560 1.2905761357701984 1402.0 0
11-682 6 0.04477611940298507 4116 1.3115806290862744 938.0 0
11-683 14 0.0958904109589041 4956 3.046550767840575 1371.0 0
11-684 7 0.05426356589147287 3948 1.4607388503133774 771.0 0
11-685 10 0.05714285714285714 6006 2.045472989537257 1360.0 0
11-686 10 0.06535947712418301 5082 2.1676416481726584 1310.0 0
11-687 17 0.1440677966101695 3906 3.698590465570461 1407.0 0
11-688 13 0.13541666666666666 2814 2.7629010872376165 1161.0 0
11-690 9 0.056962025316455694 5250 1.8324245577561058 862.0 0
11-691 0 0.0 3780 0 425.0 0
11-692 5 0.03731343283582089 4074 1.120146034000686 957.0 0
11-693 9 0.05521472392638037 5460 1.9306315958320739 1162.0 0
11-694 10 0.06666666666666667 4956 2.18924292830617 1224.0 0
11-695 6 0.03428571428571429 5838 1.2332003558829026 1219.0 0
11-697 6 0.04081632653061224 4662 1.3217181939967184 718.0 0
11-698 1 0.008403361344537815 3276 0.18111148749870565 353.0 0
11-699 4 0.024539877300613498 5250 0.870276507781369 843.0 0
11-700 4 0.03389830508474576 3360 0.8554180921374355 680.0 0
11-701 17 0.1069182389937107 5628 3.6706442775908004 1482.0 0
11-702 11 0.16176470588235295 1554 2.4781841479796647 499.0 0
11-703 0 0.0 1428 0 209.0 0
11-704 6 0.03896103896103896 4956 1.2556882326188354 711.0 0
11-705 28 0.21705426356589147 4830 6.360192061722374 1801.0 0
11-706 2 0.016260162601626018 3486 0.38466741057067044 549.0 0
11-707 5 0.037037037037037035 4116 1.069352051456489 960.0 0
11-708 3 0.019867549668874173 4704 0.6195861093423721 493.0 0
11-710 3 0.02142857142857143 4242 0.6541586659899281 521.0 0
11-711 6 0.03773584905660377 5166 1.279041654889214 1162.0 0
11-713 1 0.008928571428571428 2982 0.18111148749870565 389.0 0
11-714 1 0.008403361344537815 3276 0.18111148749870565 451.0 0
11-715 8 0.08695652173913043 2436 1.7878975612924983 614.0 0
11-716 3 0.04285714285714286 1302 0.7070576807342491 153.0 0
11-717 5 0.078125 1134 1.1049816563310497 369.0 0
11-718 18 0.13740458015267176 4494 3.9932276815983396 1433.0 0
11-719 6 0.04580152671755725 3990 1.268558766472375 909.0 0
11-720 14 0.07777777777777778 6384 3.077431002162389 1578.0 0
11-721 3 0.024390243902439025 3528 0.6571335069667789 716.0 0
11-722 23 0.21904761904761905 3612 5.143936142171111 1421.0 0
11-723 21 0.25301204819277107 2604 4.72799807815782 1076.0 0
11-724 20 0.09174311926605505 8232 4.527642228758913 2012.0 0
11-725 10 0.08771929824561403 3444 2.1947337785433767 686.0 0
11-726 15 0.13157894736842105 3654 3.2638892999787217 1247.0 0
11-727 0 0.0 2310 0 177.0 0
11-728 6 0.05172413793103448 3360 1.2190614126075727 717.0 0
11-730 8 0.042328042328042326 6510 1.7070384247376817 1276.0 0
11-731 7 0.04895104895104895 4536 1.4948269321328695 759.0 0
11-732 4 0.023255813953488372 5628 0.8523031363332694 958.0 0
11-733 0 0.0 294 0 3.0 0
11-734 0 0.0 252 0 28.0 0
11-736 0 0.0 252 0 4.0 0
11-737 4 0.05405405405405406 1512 0.855192060789264 293.0 0
11-738 0 0.0 798 0 54.0 0
11-739 0 0.0 798 0 2.0 0
11-740 0 0.0 462 0 2.0 0
11-741 0 0.0 630 0 49.0 0
11-742 10 0.10869565217391304 2520 2.290432005125042 712.0 0
11-743 0 0.0 462 0 59.0 0
11-745 1 0.01 2478 0.21075117050092493 271.0 0
11-746 10 0.10752688172043011 2562 2.1205045803518825 657.0 0
11-747 11 0.1746031746031746 1344 2.4307061969127863 555.0 0
11-748 14 0.11864406779661017 3780 3.12566495954007 979.0 0
11-749 10 0.10638297872340426 2604 2.1386966191774635 738.0 0
11-752 9 0.16666666666666666 882 1.9514128851612493 424.0 0
11-753 19 0.1743119266055046 3612 4.151521323395584 1290.0 0
11-754 2 0.019417475728155338 2646 0.40582624940467266 284.0 0
11-755 1 0.02127659574468085 252 0.26269731101386307 43.0 0
11-756 0 0.0 1134 0 198.0 0
11-757 0 0.0 168 0 22.0 0
11-758 1 0.009708737864077669 2604 0.20544281918875867 234.0 0
11-759 1 0.009433962264150943 2730 0.20544281918875867 328.0 0
11-760 0 0.0 714 0 69.0 0
11-761 20 0.10638297872340426 6972 4.43463976909907 1784.0 0
11-762 18 0.11042944785276074 5838 3.95587178130644 1670.0 0
11-764 13 0.10833333333333334 3822 2.827441629976562 1031.0 0
11-765 19 0.24675324675324675 2268 4.418591180814725 943.0 0
11-766 10 0.136986301369863 1722 2.175314413983763 657.0 0
11-767 11 0.08527131782945736 4116 2.2931596797720153 1148.0 0
11-768 8 0.06060606060606061 4116 1.7734883991648749 1040.0 0
11-770 10 0.04830917874396135 7350 2.1034938128120815 1513.0 0
11-771 8 0.05517241379310345 4662 1.716246877201325 928.0 0
11-772 16 0.11851851851851852 4578 3.445629455517849 1418.0 0
11-773 14 0.06222222222222222 8274 3.166401693604077 1651.0 0
11-774 18 0.08780487804878048 7602 4.034510001374855 1977.0 0
11-775 21 0.1099476439790576 7140 4.732895392406618 1870.0 0
11-776 7 0.0546875 3906 1.4813527817693357 973.0 0
11-777 7 0.03365384615384615 7266 1.5286011677558102 891.0 0
11-780 18 0.16071428571428573 3696 3.927868734255764 1198.0 0
11-781 8 0.04081632653061224 6804 1.7233040001024664 1542.0 0
11-782 2 0.014388489208633094 4158 0.37913693586087815 787.0 0
11-783 21 0.11229946524064172 6972 4.731186451450336 1813.0 0
11-784 10 0.06097560975609756 5544 2.110733878070882 1263.0 0
11-785 8 0.06153846153846154 4032 1.764944442288569 862.0 0
11-786 8 0.05970149253731343 4200 1.741078477647726 873.0 0
11-787 7 0.0440251572327044 5208 1.429356748456564 1014.0 0
11-788 16 0.11347517730496454 4830 3.6044289010721204 1295.0 0
11-789 26 0.20155038759689922 4746 5.798689012902177 1772.0 0
11-790 1 0.015873015873015872 924 0.20544281918875867 99.0 0
11-791 1 0.015625 966 0.2506903984389969 12.0 0
11-792 0 0.0 336 0 6.0 0
11-793 0 0.0 756 0 31.0 0
11-794 14 0.15053763440860216 2730 3.0719051102854418 1080.0 0
11-796 0 0.0 294 0 12.0 0
11-797 0 0.0 252 0 5.0 0
11-798 10 0.08064516129032258 3864 2.206001221178419 1040.0 0
11-800 0 0.0 798 0 5.0 0
11-801 7 0.12280701754385964 924 1.4337240332185544 479.0 0
11-803 7 0.07865168539325842 2268 1.5330506885336619 549.0 0
11-804 0 0.0 462 0 20.0 0
11-806 0 0.0 1176 0 216.0 0
11-807 0 0.0 462 0 6.0 0
11-808 3 0.03614457831325301 1848 0.5898881063618031 306.0 0
11-810 0 0.0 210 0 4.0 0
11-812 0 0.0 168 0 16.0 0
11-813 0 0.0 252 0 10.0 0
11-814 1 0.008333333333333333 3318 0.20038343021591398 491.0 0
11-815 0 0.0 882 0 250.0 0
11-819 1 0.008333333333333333 3318 0.18111148749870565 391.0 0
11-820 9 0.056962025316455694 5250 1.9517311257586756 1183.0 0
11-822 8 0.09195402298850575 2226 1.741090190720589 648.0 0
11-824 0 0.0 294 0 14.0 0
11-826 1 0.006944444444444444 4326 0.18111148749870565 858.0 0
11-828 0 0.0 546 0 50.0 0
11-829 0 0.0 126 0 3.0 0
11-830 0 0.0 462 0 8.0 0
11-834 18 0.15517241379310345 3864 4.008600475743278 1392.0 0
11-838 0 0.0 2982 0 282.0 0
11-842 2 0.04 420 0.4966336486687234 103.0 0
11-843 0 0.0 588 0 4.0 0
11-844 0 0.0 1092 0 143.0 0
11-845 1 0.015625 966 0.2282049114186687 106.0 0
11-846 0 0.0 420 0 31.0 0
11-847 0 0.0 126 0 10.0 0
11-853 0 0.0 84 0 1.0 0
11-854 0 0.0 294 0 12.0 0
11-857 0 0.0 126 0 9.0 0
11-859 0 0.0 504 0 21.0 0
11-860 0 0.0 84 0 2.0 0
11-861 1 0.02127659574468085 252 0.269282508064391 66.0 0
11-862 0 0.0 252 0 9.0 0
11-867 0 0.0 210 0 3.0 0
11-868 0 0.0 462 0 5.0 0
11-870 0 0.0 84 0 5.0 0
11-872 0 0.0 210 0 7.0 0
11-875 0 0.0 126 0 6.0 0
11-877 0 0.0 336 0 17.0 0
11-879 0 0.0 588 0 18.0 0
11-880 0 0.0 168 0 2.0 0
11-881 7 0.0374331550802139 6384 1.5349451705737323 1266.0 0
11-890 0 0.0 336 0 9.0 0
11-894 2 0.024096385542168676 1806 0.40346826755093124 245.0 0
11-899 0 0.0 336 0 12.0 0
11-900 3 0.022058823529411766 4074 0.6402442492890963 599.0 0
11-905 0 0.0 294 0 21.0 0
11-910 9 0.11842105263157894 1806 1.9945390031557486 596.0 0
11-912 0 0.0 924 0 53.0 0
11-917 0 0.0 2142 0 142.0 0
11-919 3 0.058823529411764705 504 0.689258102095877 158.0 0
11-921 0 0.0 168 0 4.0 0
11-922 1 0.023255813953488372 84 0.18111148749870565 35.0 0
11-925 0 0.0 126 0 58.0 0
11-926 2 0.014705882352941176 4032 0.41971268968620346 499.0 0
12-0 0 0.0 858 0 48.0 0
12-1 1 0.006369426751592357 2145 0.2119318086698044 68.0 0
12-3 0 0.0 2574 0 16.0 0
12-5 0 0.0 1001 0 1.0 0
12-9 10 0.056179775280898875 6435 2.0151761414729816 1552.0 0
12-11 18 0.10778443113772455 6006 3.962192053325148 1554.0 0
12-13 17 0.10365853658536585 5434 3.7142696620360267 1499.0 0
12-14 0 0.0 1716 0 127.0 0
12-15 0 0.0 1573 0 8.0 0
12-16 16 0.09937888198757763 4862 3.5450802342665373 1311.0 0
12-17 0 0.0 858 0 2.0 0
12-18 6 0.032432432432432434 6864 1.1669003427252767 1449.0 0
12-19 1 0.006896551724137931 429 0.21075117050092493 89.0 0
12-20 0 0.0 3575 0 136.0 0
12-22 0 0.0 429 0 37.0 0
12-23 0 0.0 2574 0 46.0 0
12-24 0 0.0 572 0 1.0 0
12-25 7 0.03954802259887006 5863 1.4063101565906881 1371.0 0
12-26 13 0.06701030927835051 9152 2.5637871977167315 2326.0 0
12-27 27 0.13989637305699482 11011 5.702142978602785 3138.0 0
12-28 3 0.017241379310344827 4862 0.6286726300432681 636.0 0
12-29 5 0.030120481927710843 4004 1.0062342398439141 783.0 0
12-30 11 0.06470588235294118 5434 2.377182140838404 1041.0 0
12-31 3 0.017045454545454544 5148 0.5675482365135475 862.0 0
12-32 19 0.10215053763440861 8866 3.988165794837014 2388.0 0
12-33 2 0.0125 2717 0.4302034370361541 313.0 0
12-34 3 0.01875 2860 0.6429476508568235 392.0 0
12-35 3 0.01775147928994083 4147 0.6429476508568235 485.0 0
12-36 5 0.030120481927710843 4004 1.131547562854645 495.0 0
12-37 2 0.012269938650306749 3146 0.39857143452118216 375.0 0
12-38 13 0.06403940886699508 10439 2.5706829538950084 2510.0 0
12-39 0 0.0 1001 0 114.0 0
12-41 0 0.0 429 0 3.0 0
12-42 2 0.013605442176870748 858 0.41102216517664103 132.0 0
12-43 5 0.0273224043715847 6435 1.0094456495399955 1197.0 0
12-45 17 0.08292682926829269 11297 3.400525079279227 2833.0 0
12-49 10 0.050761421319796954 9152 2.0584117633920926 1916.0 0
12-50 5 0.026455026455026454 7293 0.9752758027678848 1408.0 0
12-52 0 0.0 4290 0 532.0 0
12-53 12 0.07317073170731707 4719 2.551539178040301 1136.0 0
12-54 5 0.027472527472527472 6292 1.0043061816059566 1233.0 0
12-55 5 0.031055900621118012 3289 1.0089855471436913 677.0 0
12-57 14 0.08045977011494253 6435 3.02862979978741 1201.0 0
12-58 6 0.037267080745341616 3432 1.3228740053626975 524.0 0
12-60 1 0.006756756756756757 858 0.19802544836217253 126.0 0
12-61 17 0.07906976744186046 12727 3.3686677660340525 2886.0 0
12-63 2 0.013986013986013986 286 0.38639778455082274 139.0 0
12-64 0 0.0 1859 0 101.0 0
12-65 0 0.0 429 0 13.0 0
12-68 13 0.07428571428571429 6435 2.82440904772958 1499.0 0
12-71 2 0.01282051282051282 2145 0.4268714376710504 255.0 0
12-72 31 0.14553990610328638 14443 6.509259633814549 3903.0 0
12-73 26 0.12037037037037036 14157 5.424920496380367 3575.0 0
12-74 39 0.17256637168141592 17446 8.028113077318439 5289.0 0
12-77 0 0.0 2145 0 10.0 0
12-78 3 0.01910828025477707 2431 0.5962565354777166 702.0 0
12-79 1 0.00684931506849315 572 0.1894615908449756 82.0 0
12-80 17 0.07727272727272727 13442 3.4775554104008966 3435.0 0
12-81 18 0.10975609756097561 5577 3.797373213096233 1919.0 0
12-82 20 0.10256410256410256 10296 4.145799749421142 2798.0 0
12-84 1 0.0058823529411764705 4004 0.18403591485650023 449.0 0
12-85 8 0.03902439024390244 10010 1.5539728815348028 2130.0 0
12-86 22 0.10628019323671498 12298 4.49398258661087 3265.0 0
12-87 25 0.1072961373390558 16445 5.1388563613196725 4197.0 0
12-88 21 0.12 7579 4.4072542181092915 2367.0 0
12-89 2 0.013157894736842105 1573 0.4170492272701094 434.0 0
12-91 0 0.0 572 0 121.0 0
12-93 31 0.155 12584 6.632083149489767 3551.0 0
12-94 12 0.06091370558375635 9438 2.3900282854372965 2123.0 0
12-95 0 0.0 2574 0 10.0 0
12-97 3 0.01818181818181818 3575 0.6541220608481604 302.0 0
12-99 11 0.06875 4004 2.308252968153667 1247.0 0
12-102 11 0.06043956043956044 7150 2.2718281481094347 1801.0 0
12-103 31 0.15979381443298968 11726 6.414044027117227 3782.0 0
12-105 0 0.0 286 0 21.0 0
12-106 7 0.043209876543209874 3718 1.5545248707153554 604.0 0
12-112 50 0.21645021645021645 19734 10.431729386355759 5825.0 0
12-115 1 0.006944444444444444 286 0.2611892565642242 34.0 0
12-116 29 0.13615023474178403 14157 6.186279533968952 3667.0 0
12-119 68 0.26053639846743293 26598 14.179365368081177 8158.0 0
12-120 42 0.17427385892116182 20020 8.733685217342098 5420.0 0
12-124 18 0.1111111111111111 5291 3.9331406770081574 1667.0 0
12-126 24 0.11320754716981132 13299 5.039725189481601 3152.0 0
12-127 24 0.11428571428571428 13013 4.924213370724228 3525.0 0
12-129 2 0.012903225806451613 2002 0.44615024542781656 289.0 0
12-130 15 0.0967741935483871 3861 3.2763687049451495 1262.0 0
12-133 0 0.0 1859 0 46.0 0
12-134 0 0.0 1430 0 13.0 0
12-137 0 0.0 1716 0 105.0 0
12-138 0 0.0 1287 0 57.0 0
12-139 6 0.03571428571428571 4433 1.2520784200339514 1373.0 0
12-140 0 0.0 1287 0 25.0 0
12-141 19 0.08636363636363636 13728 3.8455254382781834 3424.0 0
12-143 1 0.006369426751592357 2145 0.2239186238120062 129.0 0
12-144 13 0.08843537414965986 2431 2.747680746051346 1196.0 0
12-145 9 0.05056179775280899 6292 1.8765861796300485 1527.0 0
12-148 1 0.006622516556291391 1287 0.1819118424280463 149.0 0
12-149 46 0.15699658703071673 28028 9.728563565969058 6104.0 0
12-151 18 0.08823529411764706 11297 3.669026782212405 2907.0 0
12-152 3 0.017857142857142856 4004 0.6574547007967664 539.0 0
12-155 2 0.012658227848101266 2431 0.4287190674618502 259.0 0
12-156 4 0.021739130434782608 6435 0.8406592321250013 625.0 0
12-160 59 0.21223021582733814 27742 12.340018352668789 7297.0 0
12-163 19 0.12179487179487179 4576 4.127332357738366 1457.0 0
12-164 4 0.025 3003 0.901338345889463 470.0 0
12-165 0 0.0 858 0 1.0 0
12-170 63 0.20257234726688103 33033 13.033940408662088 8533.0 0
12-171 19 0.10674157303370786 7722 3.9890373805855353 2112.0 0
