pair common_neigh jaccard pref_attach adamic sp_3 class
0-256 0 0.0 798 0 41.0 0
0-257 0 0.0 348 0 4.0 0
0-258 0 0.0 864 0 11.0 0
0-264 0 0.0 54 0 1.0 0
0-265 0 0.0 780 0 10.0 0
0-266 0 0.0 774 0 24.0 0
0-267 1 0.02 270 0.21859304439100327 32.0 0
0-270 0 0.0 432 0 14.0 0
0-271 0 0.0 66 0 8.0 0
0-272 0 0.0 24 0 1.0 0
0-273 0 0.0 702 0 29.0 0
0-274 0 0.0 102 0 2.0 0
0-276 0 0.0 582 0 25.0 0
0-278 1 0.0125 450 0.21859304439100327 58.0 0
0-279 1 0.00819672131147541 702 0.21859304439100327 38.0 0
0-281 1 0.019230769230769232 282 0.21859304439100327 40.0 0
0-282 0 0.0 186 0 23.0 0
0-285 0 0.0 150 0 4.0 0
0-286 0 0.0 360 0 7.0 0
0-287 3 0.375 30 1.4499163026461572 17.0 0
0-290 0 0.0 840 0 29.0 0
0-291 0 0.0 60 0 1.0 0
0-293 0 0.0 660 0 22.0 0
0-294 0 0.0 240 0 5.0 0
0-295 1 0.006535947712418301 888 0.21859304439100327 52.0 0
0-297 0 0.0 546 0 28.0 0
0-298 3 0.3 42 1.4499163026461572 17.0 0
0-304 0 0.0 414 0 5.0 0
0-305 0 0.0 102 0 3.0 0
0-306 0 0.0 210 0 3.0 0
0-307 0 0.0 54 0 1.0 0
0-308 0 0.0 258 0 1.0 0
0-311 0 0.0 126 0 2.0 0
0-313 0 0.0 372 0 9.0 0
0-314 1 0.0078125 738 0.21859304439100327 49.0 0
0-317 0 0.0 648 0 14.0 0
0-319 0 0.0 618 0 37.0 0
0-320 0 0.0 114 0 3.0 0
0-321 0 0.0 78 0 4.0 0
0-322 0 0.0 24 0 1.0 0
0-323 0 0.0 294 0 12.0 0
0-326 0 0.0 546 0 13.0 0
0-327 0 0.0 780 0 28.0 0
0-331 0 0.0 528 0 43.0 0
0-332 0 0.0 474 0 12.0 0
0-334 0 0.0 258 0 2.0 0
0-335 0 0.0 264 0 2.0 0
0-338 0 0.0 66 0 2.0 0
0-339 0 0.0 432 0 4.0 0
0-342 0 0.0 186 0 14.0 0
0-344 0 0.0 228 0 9.0 0
0-345 0 0.0 48 0 1.0 0
0-347 0 0.0 366 0 3.0 0
0-349 0 0.0 528 0 14.0 0
0-350 0 0.0 162 0 3.0 0
0-351 0 0.0 546 0 7.0 0
0-352 1 0.012048192771084338 468 0.21859304439100327 56.0 0
0-353 0 0.0 90 0 1.0 0
0-355 0 0.0 282 0 2.0 0
0-356 0 0.0 738 0 20.0 0
0-357 0 0.0 312 0 8.0 0
0-358 0 0.0 636 0 10.0 0
0-359 0 0.0 114 0 1.0 0
0-360 0 0.0 18 0 1.0 0
0-361 0 0.0 498 0 11.0 0
0-362 1 0.007462686567164179 774 0.21859304439100327 51.0 0
0-363 0 0.0 78 0 4.0 0
0-364 0 0.0 552 0 3.0 0
0-365 0 0.0 246 0 2.0 0
0-369 0 0.0 126 0 3.0 0
0-373 0 0.0 168 0 1.0 0
0-374 0 0.0 276 0 7.0 0
0-377 0 0.0 222 0 7.0 0
0-378 0 0.0 438 0 10.0 0
0-383 0 0.0 612 0 6.0 0
